V1	V2	V3	V4	V5	V6	V7	V8
Arabidopsis thaliana	Gossypium arboreum	4903	4079	3906	3249.56	3642	8.27e-250
Arabidopsis thaliana	Gossypium hirsutum	121	86	57	40.51	52	 2.33e-06
Arabidopsis thaliana	Phaseolus vulgaris	5810	4836	4573	3806.37	4245	1.46e-258
Arabidopsis thaliana	Glycine max	1160	943	926	752.77	843	 6.81e-54
Arabidopsis thaliana	Solanum lycopersicum	5717	4834	4319	3651.92	4034	4.19e-200
Arabidopsis thaliana	Sorghum bicolor	4651	4037	3868	3357.37	3613	1.56e-147
Arabidopsis thaliana	Zea mays	3779	3207	3272	2776.74	2952	 5.63e-92
Arabidopsis thaliana	Aegilops tauschii	4267	3751	3811	3350.14	3557	5.33e-145
Arabidopsis thaliana	Triticum dicoccoides	330	265	255	204.77	232	 9.65e-17
Arabidopsis thaliana	Triticum aestivum	47	41	38	33.15	35	 7.47e-02
Arabidopsis thaliana	Oryza sativa	4734	4023	4066	3455.33	3713	2.38e-150
Arabidopsis thaliana	Physcomitrella patens	2386	2197	2254	2075.46	2089	 6.16e-05
Gossypium arboreum	Gossypium hirsutum	1702	989	819	475.91	769	2.65e-207
Gossypium arboreum	Phaseolus vulgaris	5193	4095	4018	3168.44	3619	1.77e-256
Gossypium arboreum	Glycine max	1214	939	922	713.14	833	 1.00e-73
Gossypium arboreum	Solanum lycopersicum	4979	4024	3733	3016.99	3369	1.10e-166
Gossypium arboreum	Sorghum bicolor	3903	3274	3266	2739.66	2966	9.19e-124
Gossypium arboreum	Zea mays	3331	2723	2887	2360.04	2523	 1.06e-81
Gossypium arboreum	Aegilops tauschii	3510	3012	3158	2709.94	2853	 9.40e-84
Gossypium arboreum	Triticum dicoccoides	286	238	221	183.91	202	 3.69e-10
Gossypium arboreum	Triticum aestivum	40	31	30	23.25	27	 3.31e-03
Gossypium arboreum	Oryza sativa	4010	3301	3434	2826.84	3053	8.76e-124
Gossypium arboreum	Physcomitrella patens	2139	1930	2012	1815.41	1827	 8.54e-04
Gossypium hirsutum	Phaseolus vulgaris	157	75	96	45.86	63	 1.15e-08
Gossypium hirsutum	Glycine max	65	31	30	14.31	21	 9.10e-04
Gossypium hirsutum	Solanum lycopersicum	165	75	86	39.09	60	 2.93e-11
Gossypium hirsutum	Sorghum bicolor	95	47	61	30.18	41	 2.88e-06
Gossypium hirsutum	Zea mays	99	39	60	23.64	29	 1.94e-02
Gossypium hirsutum	Aegilops tauschii	81	41	61	30.88	37	 1.58e-03
Gossypium hirsutum	Triticum dicoccoides	30	15	23	11.5	15	 3.16e-03
Gossypium hirsutum	Triticum aestivum	20	10	10	5	8	 1.15e-02
Gossypium hirsutum	Oryza sativa	110	54	76	37.31	49	 8.97e-07
Gossypium hirsutum	Physcomitrella patens	46	26	39	22.04	24	 1.14e-01
Phaseolus vulgaris	Glycine max	2934	1864	1940	1232.5	1660	4.26e-271
Phaseolus vulgaris	Solanum lycopersicum	5909	4724	4434	3544.8	3997	2.00e-224
Phaseolus vulgaris	Sorghum bicolor	4738	3921	3953	3271.36	3539	3.74e-136
Phaseolus vulgaris	Zea mays	3818	3072	3271	2631.88	2828	 2.09e-94
Phaseolus vulgaris	Aegilops tauschii	4224	3573	3789	3205.04	3393	3.09e-111
